r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
1.0	0.1	20	2.0	2.9995962e-05	0.0015651638512310742	149086.3196265813	257398.97889930842	125634.45165929805
1.0	0.1	20	1.0	1.4997981e-05	0.0015651638512310742	170119.03533909988	278448.8285765799	146630.77215883593
1.0	0.1	20	0.5	7.4989905e-06	0.0015651638512310742	189168.8049739027	297502.9347403055	165663.5253646085
1.0	0.1	20	0.1	1.4997981e-06	0.0015651638512310742	233033.3482314655	341362.2807777233	209513.740642302
5.0	1.0	200	2.0	0.002538352	0.0017780212995776843	0.0	12580.374016218748	0.0
5.0	1.0	200	1.0	0.001269176	0.0017780212995776843	1681.9317236578408	22332.74747913025	0.0
5.0	1.0	200	0.5	0.000634588	0.0017780212995776843	10919.267857167917	34534.879935949546	3560.8220437954596
5.0	1.0	200	0.1	0.0001269176	0.0017780212995776843	58416.40463285928	84861.435920873	48277.91344795804
5.0	1.0	100	2.0	0.002538352	0.0017780212995776843	0.0	20133.800219241497	0.0
5.0	1.0	100	1.0	0.001269176	0.0017780212995776843	2116.7495479125455	37104.544962320295	0.0
5.0	1.0	100	0.5	0.000634588	0.0017780212995776843	16400.920387033926	58196.005559843106	4708.828911889458
5.0	1.0	100	0.1	0.0001269176	0.0017780212995776843	96963.68512423428	145739.308454321	78531.10734360252
5.0	1.0	50	2.0	0.002538352	0.0017780212995776843	0.0	30233.558262959974	0.0
5.0	1.0	50	1.0	0.001269176	0.0017780212995776843	2462.835410195335	58161.0977009089	0.0
5.0	1.0	50	0.5	0.000634588	0.0017780212995776843	22723.561245180925	92833.92075615938	5719.490754605083
5.0	1.0	50	0.1	0.0001269176	0.0017780212995776843	151394.0877010807	238082.24123640763	119408.20350726675
5.0	1.0	20	2.0	0.002538352	0.0017780212995776843	0.0	45900.76749862602	0.0
5.0	1.0	20	1.0	0.001269176	0.0017780212995776843	2750.6307467703195	94146.11133504169	0.0
5.0	1.0	20	0.5	0.000634588	0.0017780212995776843	30652.300888508184	154724.55002134302	6645.087790138849
5.0	1.0	20	0.1	0.0001269176	0.0017780212995776843	243023.31098722637	413282.8310489305	183472.33377012992
