r0	M_star	flux_peb	M_em_fact	M_init	M_trans	t_trans	t_moon	t_e3
1.0	1.0	50	1.0	8.0006016e-05	0.00011264259996303087	23.946632393194786	7517.111853730612	652.6710157316363
1.0	1.0	50	0.5	4.0003008e-05	0.00011264259996303087	174.79687827560392	9517.416792131171	1260.582748129525
1.0	1.0	50	0.1	8.0006016e-06	0.00011264259996303087	1871.8417727376761	14797.593391355551	4388.401635261076
1.0	1.0	20	2.0	0.00016001203	0.00011264259996303087	0.0	6986.475653707546	319.33311002837746
1.0	1.0	20	1.0	8.0006016e-05	0.00011264259996303087	24.018466798097812	9583.721471039322	666.554719796007
1.0	1.0	20	0.5	4.0003008e-05	0.00011264259996303087	176.3185829897219	12151.368021338896	1300.1369900056206
1.0	1.0	20	0.1	8.0006016e-06	0.00011264259996303087	1918.2952885326674	18471.32169797911	4617.488736244656
1.0	0.7	200	2.0	0.00012354774	0.00016932983200487896	36.37482962610907	6481.980965793646	649.3905558242852
1.0	0.7	200	1.0	6.1773872e-05	0.00016932983200487896	217.40735707203334	7747.137497719728	1230.9109622373674
1.0	0.7	200	0.5	3.0886936e-05	0.00016932983200487896	674.8791363725904	9155.378705389814	2144.6351215939503
1.0	0.7	200	0.1	6.1773872e-06	0.00016932983200487896	3918.350268040216	14053.309174453989	6367.535375183679
1.0	0.7	100	2.0	0.00012354774	0.00016932983200487896	36.900566638418034	10188.99197244001	703.1423149960018
1.0	0.7	100	1.0	6.1773872e-05	0.00016932983200487896	224.8814524204123	12048.408063534074	1378.6481890928344
1.0	0.7	100	0.5	3.0886936e-05	0.00016932983200487896	714.8400575544528	13995.761948303896	2467.465173833904
1.0	0.7	100	0.1	6.1773872e-06	0.00016932983200487896	4300.581057556356	20152.784126783456	7475.8783847270415
1.0	0.7	50	2.0	0.00012354774	0.00016932983200487896	37.170023075740524	15210.110387553075	734.9842798522074
1.0	0.7	50	1.0	6.1773872e-05	0.00016932983200487896	228.88113987827447	17819.92735588988	1473.1711687584043
1.0	0.7	50	0.5	3.0886936e-05	0.00016932983200487896	737.3765882425021	20401.705066500017	2688.709229474146
1.0	0.7	50	0.1	6.1773872e-06	0.00016932983200487896	4541.31698635222	27854.307903999954	8309.48589635319
1.0	0.7	20	2.0	0.00012354774	0.00016932983200487896	37.33387421687462	23445.102925690586	756.1133585275221
1.0	0.7	20	1.0	6.1773872e-05	0.00016932983200487896	231.3731503497535	27228.491319852583	1539.3659368605627
1.0	0.7	20	0.5	3.0886936e-05	0.00016932983200487896	751.8693636956474	30733.784336612447	2852.197206627777
1.0	0.7	20	0.1	6.1773872e-06	0.00016932983200487896	4708.186213289164	39830.68780228308	8978.887404923249
1.0	0.5	200	2.0	9.677803e-05	0.0002487350268242733	282.24597025896617	9942.259321459056	1367.0931030016084
1.0	0.5	200	1.0	4.8389015e-05	0.0002487350268242733	836.6268723730517	11484.719299904566	2427.3599193473065
1.0	0.5	200	0.5	2.4194508e-05	0.0002487350268242733	1922.7362678109437	13334.554755858202	3973.424590713316
1.0	0.5	200	0.1	4.8389015e-06	0.0002487350268242733	8135.156258155703	20722.46032268791	10979.050445160596
1.0	0.5	100	2.0	9.677803e-05	0.0002487350268242733	294.8206714619964	16676.36364692544	1587.6783840343296
1.0	0.5	100	1.0	4.8389015e-05	0.0002487350268242733	901.1612815112841	18919.96939468201	2928.1640286994257
1.0	0.5	100	0.5	2.4194508e-05	0.0002487350268242733	2124.163703152725	21424.46120631316	4877.818231768776
1.0	0.5	100	0.1	4.8389015e-06	0.0002487350268242733	9131.668572481718	30422.1137691446	13221.37713271128
1.0	0.5	50	2.0	9.677803e-05	0.0002487350268242733	301.696857711456	26966.352730581013	1743.2391879980917
1.0	0.5	50	1.0	4.8389015e-05	0.0002487350268242733	939.0505863308382	30124.59939614849	3320.469563835114
1.0	0.5	50	0.5	2.4194508e-05	0.0002487350268242733	2250.785349170568	33412.180952034105	5633.849019792777
1.0	0.5	50	0.1	4.8389015e-06	0.0002487350268242733	9827.921842928155	44088.53314358272	15176.913284116508
1.0	0.5	20	2.0	9.677803e-05	0.0002487350268242733	306.0355594443914	47367.51560654764	1860.9477591404038
1.0	0.5	20	1.0	4.8389015e-05	0.0002487350268242733	964.0543829935565	52058.116312019316	3647.4911543443695
1.0	0.5	20	0.5	2.4194508e-05	0.0002487350268242733	2338.4017066037923	56543.41880445018	6308.069499404095
1.0	0.5	20	0.1	4.8389015e-06	0.0002487350268242733	10352.891671939973	69438.44163295667	17025.351954260346
1.0	0.3	200	2.0	6.6768339e-05	0.000445941997641276	2215.3023706822382	15602.079145705495	4121.620871399911
1.0	0.3	200	1.0	3.338417e-05	0.000445941997641276	4374.13839637394	18250.16966895492	6610.438454835996
1.0	0.3	200	0.5	1.6692085e-05	0.000445941997641276	7615.665613149145	21779.798674691985	10053.475454469057
1.0	0.3	200	0.1	3.338417e-06	0.000445941997641276	23173.950715816536	37715.34152832506	25876.09784612369
1.0	0.3	100	2.0	6.6768339e-05	0.000445941997641276	2629.9532369557846	27242.2433324539	5618.85463569931
1.0	0.3	100	1.0	3.338417e-05	0.000445941997641276	5340.918842758211	30899.768813870713	9000.991240122274
1.0	0.3	100	0.5	1.6692085e-05	0.000445941997641276	9292.152979335382	35390.19059768586	13350.723882692228
1.0	0.3	100	0.1	3.338417e-06	0.000445941997641276	26932.75023955689	53711.62325503443	31497.97112116041
1.0	0.3	50	2.0	6.6768339e-05	0.000445941997641276	2944.4215637359544	46754.31868812371	7262.7300032723015
1.0	0.3	50	1.0	3.338417e-05	0.000445941997641276	6155.433506161767	51702.47818762551	11689.988162265403
1.0	0.3	50	0.5	1.6692085e-05	0.000445941997641276	10769.977679957961	57308.06991138698	17032.9091476985
1.0	0.3	50	0.1	3.338417e-06	0.000445941997641276	30295.877767977996	78083.9036689066	37490.63292385339
1.0	0.3	20	2.0	6.6768339e-05	0.000445941997641276	3198.6984279763606	91917.93303308962	9289.805837627297
1.0	0.3	20	1.0	3.338417e-05	0.000445941997641276	6889.430901201813	99047.49107620268	15150.376830308289
1.0	0.3	20	0.5	1.6692085e-05	0.000445941997641276	12177.783517117137	106354.83882248441	21801.028341294765
1.0	0.3	20	0.1	3.338417e-06	0.000445941997641276	33595.95960361926	130116.72392924633	44985.442516973315
1.0	0.1	200	2.0	2.9995962e-05	0.0015651638512310742	50624.906173610354	62358.455652964876	47802.20211162942
1.0	0.1	200	1.0	1.4997981e-05	0.0015651638512310742	72935.5504928716	84672.87353759626	70107.43194549346
1.0	0.1	200	0.5	7.4989905e-06	0.0015651638512310742	99839.94253180262	111579.52919360147	97008.43574169626
1.0	0.1	200	0.1	1.4997981e-06	0.0015651638512310742	207523.71486143835	219266.9518545438	204685.80055424018
1.0	0.1	100	2.0	2.9995962e-05	0.0015651638512310742	74734.12430369762	97882.00013348991	69231.68652535055
1.0	0.1	100	1.0	1.4997981e-05	0.0015651638512310742	100746.88823731801	123901.50795780207	95233.92010633326
1.0	0.1	100	0.5	7.4989905e-06	0.0015651638512310742	130454.35184254423	153612.69624834077	124934.91789650088
1.0	0.1	100	0.1	1.4997981e-06	0.0015651638512310742	245309.6188252794	268473.2266229351	239778.295678243
1.0	0.1	50	2.0	2.9995962e-05	0.0015651638512310742	110104.16369853228	155524.22123039808	99502.0860537344
1.0	0.1	50	1.0	1.4997981e-05	0.0015651638512310742	140127.12749865087	185561.39974116313	129502.17774268283
1.0	0.1	50	0.5	7.4989905e-06	0.0015651638512310742	172648.6476369722	218090.6233785073	162010.22417293835
1.0	0.1	50	0.1	1.4997981e-06	0.0015651638512310742	294127.5255048774	339580.27580205514	283464.68926203175
1.0	0.1	20	2.0	2.9995962e-05	0.0015651638512310742	181626.66480824954	291126.52707178873	157060.8561412474
1.0	0.1	20	1.0	1.4997981e-05	0.0015651638512310742	217444.13693469178	326992.09131341206	192808.8656778546
1.0	0.1	20	0.5	7.4989905e-06	0.0015651638512310742	253735.47528531915	363309.9659300337	229060.9109155266
1.0	0.1	20	0.1	1.4997981e-06	0.0015651638512310742	383623.4940750792	493240.97652380756	358873.8946607151
5.0	1.0	200	2.0	0.002538352	0.0017780212995776843	0.0	12633.041687655137	0.0
5.0	1.0	200	1.0	0.001269176	0.0017780212995776843	1704.7233668322685	22522.236826697823	0.0
5.0	1.0	200	0.5	0.000634588	0.0017780212995776843	11335.318426989475	35210.982783757645	3712.090112271872
5.0	1.0	200	0.1	0.0001269176	0.0017780212995776843	77740.31529656125	104909.63701577448	66907.45824798445
5.0	1.0	100	2.0	0.002538352	0.0017780212995776843	0.0	20204.191459425398	0.0
5.0	1.0	100	1.0	0.001269176	0.0017780212995776843	2136.2599202879856	37364.444327223166	0.0
5.0	1.0	100	0.5	0.000634588	0.0017780212995776843	16893.067096873147	59112.847439001445	4850.689442026164
5.0	1.0	100	0.1	0.0001269176	0.0017780212995776843	120885.43233925785	170997.09225716194	101210.3622333365
5.0	1.0	50	2.0	0.002538352	0.0017780212995776843	0.0	30317.132937921167	0.0
5.0	1.0	50	1.0	0.001269176	0.0017780212995776843	2476.850315050621	58480.884242556735	0.0
5.0	1.0	50	0.5	0.000634588	0.0017780212995776843	23222.052239756962	93953.16060033835	5830.477150264233
5.0	1.0	50	0.1	0.0001269176	0.0017780212995776843	177859.57667069507	266808.9358093984	143860.14504087064
5.0	1.0	20	2.0	0.002538352	0.0017780212995776843	0.0	45983.86691096262	0.0
5.0	1.0	20	1.0	0.001269176	0.0017780212995776843	2757.9673209608422	94488.09209588754	0.0
5.0	1.0	20	0.5	0.000634588	0.0017780212995776843	31040.73151170762	155922.27480798733	6708.280555326069
5.0	1.0	20	0.1	0.0001269176	0.0017780212995776843	267665.2545412371	441659.0679675361	205105.77951407575
5.0	0.7	200	2.0	0.0019640782	0.00267280805003966	1886.0120726881769	19741.934122432267	0.0
5.0	0.7	200	1.0	0.00098203908	0.00267280805003966	12508.887920071193	33000.569386240975	50.341093578992755
5.0	0.7	200	0.5	0.00049101954	0.00267280805003966	30953.0652711253	52521.66256328094	12144.044622576934
5.0	0.7	200	0.1	9.8203908e-05	0.00267280805003966	177035.77445840798	200308.32896272402	154136.37028551238
5.0	0.7	100	2.0	0.0019640782	0.00267280805003966	2430.8243137113263	33822.0421021511	0.0
5.0	0.7	100	1.0	0.00098203908	0.00267280805003966	19374.853358770022	56913.017324386405	52.459703777014205
5.0	0.7	100	0.5	0.00049101954	0.00267280805003966	49680.45376947406	89726.46055827667	17165.656377099767
5.0	0.7	100	0.1	9.8203908e-05	0.00267280805003966	265491.20477026055	309521.8592586552	222865.34585477618
5.0	0.7	50	2.0	0.0019640782	0.00267280805003966	2890.677956406152	55464.08838680993	0.0
5.0	0.7	50	1.0	0.00098203908	0.00267280805003966	27944.424016717934	94007.26564764288	53.58570700962739
5.0	0.7	50	0.5	0.00049101954	0.00267280805003966	74995.24063188482	146857.79095269044	22319.76833761853
5.0	0.7	50	0.1	9.8203908e-05	0.00267280805003966	382605.3702647606	463710.8625901805	306288.4206626722
5.0	0.7	20	2.0	0.0019640782	0.00267280805003966	3295.5743515519234	97496.67241392714	0.0
5.0	0.7	20	1.0	0.00098203908	0.00267280805003966	40014.172293093136	167550.50887297455	54.28438384750147
5.0	0.7	20	0.5	0.00049101954	0.00267280805003966	115466.38692693715	259440.18247967694	27930.197681020265
5.0	0.7	20	0.1	9.8203908e-05	0.00267280805003966	576735.8047471804	747433.1021751676	426681.0531707317
5.0	0.5	200	2.0	0.0015406498	0.00392618934390481	13380.747668350949	29711.020525702126	0.0
5.0	0.5	200	1.0	0.00077032492	0.00392618934390481	32753.02638015461	49794.03834910233	3315.8689281072297
5.0	0.5	200	0.5	0.00038516246	0.00392618934390481	67159.88865716143	84584.64544170382	32310.416410253474
5.0	0.5	200	0.1	7.7032492e-05	0.00392618934390481	411964.6443106211	430170.1963474482	372560.6740886912
5.0	0.5	100	2.0	0.0015406498	0.00392618934390481	21784.698868152936	52693.8442647899	0.0
5.0	0.5	100	1.0	0.00077032492	0.00392618934390481	54676.77531362756	87147.16936587356	4102.653460610889
5.0	0.5	100	0.5	0.00038516246	0.00392618934390481	110164.17592081067	143469.67768843757	47031.59780604088
5.0	0.5	100	0.1	7.7032492e-05	0.00392618934390481	579079.3839197623	614145.300708342	504469.84057563974
5.0	0.5	50	2.0	0.0015406498	0.00392618934390481	33597.4526866362	90533.27504764372	0.0
5.0	0.5	50	1.0	0.00077032492	0.00392618934390481	86977.89528474871	147438.17345176396	4709.780505008405
5.0	0.5	50	0.5	0.00038516246	0.00392618934390481	172632.3339127269	234992.73573977052	63453.28281383363
5.0	0.5	50	0.1	7.7032492e-05	0.00392618934390481	795200.7879867853	861547.1577702072	658276.6173897196
5.0	0.5	20	2.0	0.0015406498	0.00392618934390481	53657.420054173155	173330.67889440246	0.0
5.0	0.5	20	1.0	0.00077032492	0.00392618934390481	146351.37996774697	276518.37412408873	5203.436656262039
5.0	0.5	20	0.5	0.00038516246	0.00392618934390481	286870.14683873544	422790.0157447468	83471.13388368124
5.0	0.5	20	0.1	7.7032492e-05	0.00392618934390481	1159351.3961903593	1306956.2608137217	875919.4510413442
5.0	0.3	200	2.0	0.0010638069	0.007039027600948817	54018.95960523113	61714.300781240745	0.0
5.0	0.3	200	1.0	0.00053190344	0.007039027600948817	107859.27068831086	115617.47715626597	34984.504196988026
5.0	0.3	200	0.5	0.00026595172	0.007039027600948817	229621.13641806834	237422.79474185954	151996.56074873396
5.0	0.3	200	0.1	5.3190344e-05	0.007039027600948817	1536876.4993704923	1544771.148677103	1455072.553283145
5.0	0.3	100	2.0	0.0010638069	0.007039027600948817	96055.6784005088	111126.7049156013	0.0
5.0	0.3	100	1.0	0.00053190344	0.007039027600948817	183484.8522789406	198672.73015973181	49047.94762083177
5.0	0.3	100	0.5	0.00026595172	0.007039027600948817	360718.44913269754	375989.3056391329	214890.014902924
5.0	0.3	100	0.1	5.3190344e-05	0.007039027600948817	1953180.8391722336	1968670.7067693141	1795708.3336622012
5.0	0.3	50	2.0	0.0010638069	0.007039027600948817	166337.39724477744	195534.63808404517	0.0
5.0	0.3	50	1.0	0.00053190344	0.007039027600948817	302787.22199841274	332232.0101271458	63660.75113868393
5.0	0.3	50	0.5	0.00026595172	0.007039027600948817	552057.0861076671	581678.3680307668	286469.3413912099
5.0	0.3	50	0.1	5.3190344e-05	0.007039027600948817	2460468.1367664025	2490599.315301615	2164169.9420078765
5.0	0.3	20	2.0	0.0010638069	0.007039027600948817	325704.75213131186	393851.18424392375	0.0
5.0	0.3	20	1.0	0.00053190344	0.007039027600948817	557705.9361915411	626633.0555782254	80093.74930869546
5.0	0.3	20	0.5	0.00026595172	0.007039027600948817	929694.6313683855	999178.4341914796	379679.58426446037
5.0	0.3	20	0.1	5.3190344e-05	0.007039027600948817	3308147.8522558804	3379159.5987832127	2659237.3877940592
5.0	0.1	200	2.0	0.00047577015	0.02470552584662665	1304511.2723052509	1274421.1186591496	744369.153536458
5.0	0.1	200	1.0	0.00023788507	0.02470552584662665	3105995.893286287	3075995.4370098016	2531082.76670061
5.0	0.1	200	0.5	0.00011894254	0.02470552584662665	5926077.754053946	5896118.68197071	5344977.345173042
5.0	0.1	200	0.1	2.3788507e-05	0.02470552584662665	19689587.295743264	19659648.894250933	19099037.361958086
5.0	0.1	100	2.0	0.00047577015	0.02470552584662665	2034066.308951566	1974223.6577137462	992531.623307672
5.0	0.1	100	1.0	0.00023788507	0.02470552584662665	4303589.05954132	4243859.725758937	3216727.5424871864
5.0	0.1	100	0.5	0.00011894254	0.02470552584662665	7656670.9976793425	7596986.427543462	6548575.185434929
5.0	0.1	100	0.1	2.3788507e-05	0.02470552584662665	20000000.0	20000000.0	20000000.0
5.0	0.1	50	2.0	0.00047577015	0.02470552584662665	3125496.3709670384	3006817.706331489	1241811.368915435
5.0	0.1	50	1.0	0.00023788507	0.02470552584662665	5912911.458919913	5794340.153468644	3909037.79198582
5.0	0.1	50	0.5	0.00011894254	0.02470552584662665	9787202.164170526	9668658.393694578	7723305.238391807
5.0	0.1	50	0.1	2.3788507e-05	0.02470552584662665	20000000.0	20000000.0	20000000.0
5.0	0.1	20	2.0	0.00047577015	0.02470552584662665	5425834.186708974	5133422.259591574	1516287.6744096165
5.0	0.1	20	1.0	0.00023788507	0.02470552584662665	8976447.520334307	8684005.004697897	4711104.07383832
5.0	0.1	20	0.5	0.00011894254	0.02470552584662665	13534344.990600849	13241819.31027579	9076796.799902659
5.0	0.1	20	0.1	2.3788507e-05	0.02470552584662665	20000000.0	20000000.0	20000000.0
10.0	1.0	200	2.0	0.0079228001	0.005834294943112898	0.0	3575.5930985606183	0.0
10.0	1.0	200	1.0	0.0039614001	0.005834294943112898	8501.333220140777	24190.896611814045	0.0
10.0	1.0	200	0.5	0.0019807	0.005834294943112898	36920.78264547809	54171.90970186549	0.0
10.0	1.0	200	0.1	0.00039614001	0.005834294943112898	246220.9777578195	264718.9244562496	137644.53267711407
10.0	1.0	100	2.0	0.0079228001	0.005834294943112898	0.0	5239.10406724117	0.0
10.0	1.0	100	1.0	0.0039614001	0.005834294943112898	13464.706548261462	42051.796407642665	0.0
10.0	1.0	100	0.5	0.0019807	0.005834294943112898	64174.52437964999	96740.62710873199	0.0
10.0	1.0	100	0.1	0.00039614001	0.005834294943112898	419830.2089412768	455598.65529942734	215656.92064309085
